Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD
New businesses registered (number),IC.BUS.NREG
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN
Start-up procedures to register a business (number),IC.REG.PROC
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Time required to get electricity (days),IC.ELC.TIME
Time required to start a business (days),IC.REG.DURS
"Time required to start a business, female (days)",IC.REG.DURS.FE
"Time required to start a business, male (days)",IC.REG.DURS.MA
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
Expense (% of GDP),GC.XPN.TOTL.GD.ZS
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
High-technology exports (current US$),TX.VAL.TECH.CD
"Patent applications, nonresidents",IP.PAT.NRES
"Patent applications, residents",IP.PAT.RESD
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6
Scientific and technical journal articles,IP.JRN.ARTC.SC
Technicians in R&D (per million people),SP.POP.TECH.RD.P6
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Refugee population by country or territory of asylum,SM.POP.REFG
Refugee population by country or territory of origin,SM.POP.REFG.OR
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
High-technology exports (current US$),TX.VAL.TECH.CD
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
"Lead time to export, median case (days)",LP.EXP.DURS.MD
"Lead time to import, median case (days)",LP.IMP.DURS.MD
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS
Population density (people per sq. km of land area),EN.POP.DNST
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS
Urban population,SP.URB.TOTL
Urban population (% of total population),SP.URB.TOTL.IN.ZS
